date	macro_dimension	dimension	gender	language	frequency
2021-06-01	Security	Other - Security	f	ar	1
2021-06-01	Corruption	Other - Corruption	m	ar	2
2021-06-01	Corruption	Other - Corruption	m	ar	1
2021-06-02	Security	Other - Security	m	ar	3
2021-06-02	Corruption	Other - Corruption	m	ar	1
2021-06-03	Corruption	Other - Corruption	m	ar	3
2021-06-04	Security	Other - Security	f	ar	1
2021-06-04	Corruption	Other - Corruption	m	ar	1
2021-06-05	Security	Other - Security	f	ar	1
2021-06-05	Security	Other - Security	m	ar	1
2021-06-05	Corruption	Other - Corruption	f	ar	1
2021-06-05	Corruption	Other - Corruption	m	ar	2
2021-06-06	Security	Other - Security	m	ar	2
2021-06-06	Security	Other - Security	f	ar	1
2021-06-06	Security	Other - Security	f	ar	1
2021-06-06	Security	Other - Security	m	ar	2
2021-06-06	Corruption	Other - Corruption	m	ar	3
2021-06-06	Corruption	Other - Corruption	m	ar	1
2021-06-06	Services	Other - Services	m	ar	1
2021-06-07	Security	Other - Security	m	ar	1
2021-06-08	Security	Other - Security	m	ar	1
2021-06-09	Security	Other - Security	m	ar	1
2021-06-09	Security	Other - Security	m	ar	1
2021-06-09	Corruption	Other - Corruption	m	ar	2
2021-06-09	Services	Other - Services	f	ar	1
2021-06-10	Security	Other - Security	m	ar	4
2021-06-10	Security	Hopeless/Negative/Pessimistic	m	ar	1
2021-06-10	Security	Other - Security	m	ar	1
2021-06-10	Security	Other - Security	m	ar	2
2021-06-10	Corruption	Other - Corruption	m	ar	1
2021-06-10	Services	Other - Services	m	ar	1
2021-06-10	Services	Collective Action	m	ar	1
2021-06-10	Governance	Other - Governance	m	ar	1
2021-06-11	Security	Other - Security	f	ar	2
2021-06-11	Security	Other - Security	m	ar	1
2021-06-11	Security	Other - Security	f	ar	1
2021-06-11	Security	Other - Security	m	ar	2
2021-06-11	Security	Other - Security	m	ar	1
2021-06-11	Security	Other - Security	m	en	1
2021-06-11	Governance	Other - Governance	m	ar	1
2021-06-12	Security	Other - Security	f	ar	3
2021-06-12	Security	Other - Security	m	ar	3
2021-06-12	Security	Other - Security	m	ar	3
2021-06-12	Security	Other - Security	f	ar	2
2021-06-12	Security	Other - Security	m	ar	2
2021-06-12	Services	Other - Services	m	ar	1
2021-06-12	Economy	Other - Economy	m	ar	1
2021-06-12	Governance	Other - Governance	m	ar	1
2021-06-12	Governance	Other - Governance	m	ar	1
2021-06-13	Security	Other - Security	f	ar	1
2021-06-13	Security	Other - Security	m	ar	2
2021-06-13	Security	Other - Security	f	ar	1
2021-06-13	Security	Other - Security	m	ar	1
2021-06-13	Corruption	Other - Corruption	m	ar	1
2021-06-13	Governance	Other - Governance	m	ar	1
2021-06-14	Security	Other - Security	f	ar	2
2021-06-14	Security	Other - Security	m	ar	1
2021-06-14	Security	Other - Security	m	ar	1
2021-06-15	Security	Other - Security	f	ar	1
2021-06-15	Security	Other - Security	m	ar	1
2021-06-15	Security	Hopeless/Negative/Pessimistic	f	ar	1
2021-06-15	Corruption	Active-agentic	m	ar	1
2021-06-15	Governance	Other - Governance	m	ar	1
2021-06-16	Security	Other - Security	m	ar	1
2021-06-16	Security	Other - Security	m	ar	1
2021-06-16	Corruption	Other - Corruption	m	ar	1
2021-06-16	Governance	Other - Governance	m	ar	1
2021-06-17	Security	Other - Security	m	ar	3
2021-06-17	Security	Hopeful/Positive/Optimistic	m	ar	1
2021-06-17	Security	Hopeless/Negative/Pessimistic	m	ar	1
2021-06-17	Corruption	Other - Corruption	m	ar	1
2021-06-18	Security	Other - Security	m	ar	1
2021-06-18	Security	Other - Security	m	ar	1
2021-06-18	Corruption	Other - Corruption	m	ar	3
2021-06-19	Security	Other - Security	m	ar	1
2021-06-19	Corruption	Other - Corruption	m	ar	1
2021-06-19	Governance	Other - Governance	m	ar	1
2021-06-20	Security	Other - Security	m	ar	1
2021-06-20	Corruption	Other - Corruption	f	ar	1
2021-06-20	Services	Other - Services	m	ar	1
2021-06-21	Security	Other - Security	m	ar	1
2021-06-21	Corruption	Other - Corruption	f	ar	4
2021-06-21	Corruption	Other - Corruption	m	ar	10
2021-06-21	Corruption	Other - Corruption	m	ar	1
2021-06-21	Services	Collective Action	f	ar	1
2021-06-21	Economy	Other - Economy	m	ar	1
2021-06-21	Governance	Other - Governance	f	ar	1
2021-06-22	Security	Hopeful/Positive/Optimistic	m	ar	1
2021-06-22	Security	Other - Security	m	ar	1
2021-06-22	Corruption	Other - Corruption	f	ar	1
2021-06-22	Corruption	Other - Corruption	m	ar	1
2021-06-22	Governance	Other - Governance	f	ar	1
2021-06-23	Security	Other - Security	f	ar	2
2021-06-23	Security	Other - Security	m	ar	2
2021-06-23	Security	Other - Security	m	ar	1
2021-06-23	Security	Other - Security	m	ar	1
2021-06-23	Corruption	Other - Corruption	m	ar	1
2021-06-23	Services	Other - Services	m	ar	1
2021-06-24	Security	Other - Security	f	ar	1
2021-06-24	Security	Other - Security	m	ar	1
2021-06-24	Security	Other - Security	f	ar	1
2021-06-24	Corruption	Other - Corruption	f	ar	7
2021-06-24	Corruption	Other - Corruption	m	ar	7
2021-06-24	Economy	Other - Economy	f	ar	1
2021-06-24	Governance	Other - Governance	f	ar	3
2021-06-24	Governance	Other - Governance	m	ar	1
2021-06-25	Security	Other - Security	m	ar	2
2021-06-25	Governance	Other - Governance	m	ar	1
2021-06-26	Security	Other - Security	f	ar	1
2021-06-26	Economy	Other - Economy	m	ar	1
2021-06-26	Governance	Other - Governance	f	ar	1
2021-06-27	Security	Other - Security	f	ar	1
2021-06-27	Corruption	Other - Corruption	m	ar	2
2021-06-27	Corruption	Other - Corruption	m	ar	2
2021-06-27	Governance	Other - Governance	m	ar	1
2021-06-28	Security	Hopeful/Positive/Optimistic	m	ar	1
2021-06-28	Services	Collective Action	m	ar	1
2021-06-29	Security	Other - Security	m	ar	1
2021-06-29	Security	Other - Security	m	ar	1
2021-06-29	Services	Other - Services	m	ar	1
2021-04-01	Security	Other - Security	m	ar	1
2021-04-01	Security	Other - Security	m	ar	2
2021-04-01	Security	Other - Security	m	ar	1
2021-04-01	Corruption	Other - Corruption	m	ar	2
2021-04-01	Services	Divine Intervention	m	ar	1
2021-04-02	Corruption	Other - Corruption	f	ar	1
2021-04-02	Corruption	Other - Corruption	m	ar	2
2021-04-03	Corruption	Other - Corruption	m	ar	1
2021-04-03	Governance	Other - Governance	m	ar	1
2021-04-04	Security	Hopeless/Negative/Pessimistic	m	ar	1
2021-04-04	Security	Other - Security	m	ar	1
2021-04-04	Corruption	Other - Corruption	m	ar	1
2021-04-04	Governance	Other - Governance	f	ar	1
2021-04-05	Corruption	Other - Corruption	f	ar	1
2021-04-06	Corruption	Other - Corruption	f	ar	1
2021-04-06	Corruption	Other - Corruption	m	ar	2
2021-04-07	Security	Other - Security	m	ar	1
2021-04-07	Security	Other - Security	m	ar	1
2021-04-07	Corruption	Other - Corruption	m	ar	3
2021-04-08	Security	Other - Security	m	ar	1
2021-04-08	Corruption	Other - Corruption	m	ar	1
