date	macro_dimension	dimension	gender	frequency
2021-06-01	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2021-06-01	Willingness to take action	Active-agentic	undefined	1
2021-06-01	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2021-06-02	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-06-02	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	5
2021-06-02	Willingness to take action	Active-agentic	undefined	2
2021-06-02	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2021-06-02	Conditionality-Variables Shaping outlook	Collective Action	undefined	9
2021-06-02	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2021-06-03	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-06-03	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2021-06-03	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2021-06-03	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2021-06-04	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	9
2021-06-04	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	16
2021-06-04	Willingness to take action	Active-agentic	undefined	10
2021-06-04	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2021-06-04	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2021-06-04	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2021-06-05	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2021-06-05	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	6
2021-06-05	Willingness to take action	Active-agentic	undefined	4
2021-06-05	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2021-06-05	Conditionality-Variables Shaping outlook	Collective Action	undefined	4
2021-06-05	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2021-06-06	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	8
2021-06-06	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	24
2021-06-06	Conditionality-Variables Shaping outlook	Leadership	undefined	74
