day	macro	dimension	value
2018-01-10	tweets	male_tweets	19648
2018-01-10	tweets	female_tweets	5407
2018-01-10	tweets	kurdish_tweets	804
2018-01-10	tweets	kurdish_male_tweets	115
2018-01-10	tweets	kurdish_female_tweets	101
2018-01-10	tweets	youth_focused_tweets	129
2018-01-10	users	male_users	3907
2018-01-10	users	female_users	890
2018-01-10	users	influencers_7k_20k	166
2018-01-10	users	influencers_20k_35k	43
2018-01-10	users	influencers_35k_and_above	67
2018-01-10	users	kurdish_users	152
2018-01-10	users	kurdish_male_users	67
2018-01-10	users	kurdish_female_users	13
2018-01-10	users	arab_users	7271
2018-01-10	users	arab_male_users	3022
2018-01-10	users	arab_female_users	662
2018-01-11	tweets	male_tweets	20274
2018-01-11	tweets	female_tweets	5318
2018-01-11	tweets	kurdish_tweets	784
2018-01-11	tweets	kurdish_male_tweets	92
2018-01-11	tweets	kurdish_female_tweets	102
2018-01-11	tweets	youth_focused_tweets	146
2018-01-11	users	male_users	4049
2018-01-11	users	female_users	967
2018-01-11	users	influencers_7k_20k	165
2018-01-11	users	influencers_20k_35k	47
2018-01-11	users	influencers_35k_and_above	70
2018-01-11	users	kurdish_users	140
2018-01-11	users	kurdish_male_users	48
2018-01-11	users	kurdish_female_users	14
2018-01-11	users	arab_users	7687
2018-01-11	users	arab_male_users	3168
2018-01-11	users	arab_female_users	729
2018-01-12	tweets	male_tweets	20343
2018-01-12	tweets	female_tweets	5144
2018-01-12	tweets	kurdish_tweets	540
2018-01-12	tweets	kurdish_male_tweets	96
2018-01-12	tweets	kurdish_female_tweets	59
2018-01-12	tweets	youth_focused_tweets	127
2018-01-12	users	male_users	4022
2018-01-12	users	female_users	899
2018-01-12	users	influencers_7k_20k	154
2018-01-12	users	influencers_20k_35k	41
2018-01-12	users	influencers_35k_and_above	68
2018-01-12	users	kurdish_users	133
2018-01-12	users	kurdish_male_users	58
2018-01-12	users	kurdish_female_users	6
2018-01-12	users	arab_users	7269
2018-01-12	users	arab_male_users	3059
2018-01-12	users	arab_female_users	668
2018-01-13	tweets	male_tweets	19809
2018-01-13	tweets	female_tweets	5520
2018-01-13	tweets	kurdish_tweets	772
2018-01-13	tweets	kurdish_male_tweets	99
2018-01-13	tweets	kurdish_female_tweets	99
2018-01-13	tweets	youth_focused_tweets	184
2018-01-13	users	male_users	3789
2018-01-13	users	female_users	941
2018-01-13	users	influencers_7k_20k	169
2018-01-13	users	influencers_20k_35k	35
2018-01-13	users	influencers_35k_and_above	71
