day	users
2018-01-10	9232
2018-01-11	9726
2018-01-12	9414
2018-01-13	9161
2018-01-14	9217
2018-01-15	9475
2018-01-16	8934
2018-01-17	8707
2018-01-18	8341
2018-01-19	8570
2018-01-20	8236
2018-01-21	8318
2018-01-22	8441
2018-01-23	8392
2018-01-24	8109
2018-01-25	8015
2018-01-26	8632
2018-01-27	8574
2018-01-28	8532
2018-01-29	8107
2018-01-30	8272
2018-04-01	7375
2018-04-02	8188
2018-04-03	8174
2018-04-04	8001
2018-04-05	7773
2018-04-06	7776
2018-04-07	7986
2018-04-08	7715
2018-04-09	8200
2018-04-10	8585
2018-04-11	8960
2018-04-12	9105
2018-04-13	8799
2018-04-14	9240
2018-04-15	8166
2018-04-16	8282
2018-04-17	8180
2018-04-18	8177
2018-04-19	8097
2018-04-20	8255
2018-04-21	8665
2018-04-22	8377
2018-04-23	8012
2018-04-24	8215
2018-04-25	7905
2018-04-26	8159
2018-04-27	8234
2018-04-28	8231
2018-04-29	8125
2018-04-30	8226
2018-05-01	9164
2018-05-02	8388
2018-05-03	8089
2018-05-04	8804
2018-05-05	8568
2018-05-06	8415
2018-05-07	8216
2018-05-08	8620
2018-05-09	8409
2018-05-10	8603
2018-05-11	8787
2018-05-12	9380
2018-05-13	9173
2018-05-14	9527
2018-05-15	9538
2018-05-16	10900
2018-05-17	10379
2018-05-18	10622
2018-05-19	10529
2018-05-20	10284
2018-05-21	10429
2018-05-22	10304
2018-05-23	11046
2018-05-24	10679
2018-05-25	11025
2018-05-26	11402
2018-05-27	10497
2018-05-28	10682
2018-05-29	10393
2018-05-30	10490
2018-05-31	10453
2018-06-01	10956
2018-06-02	11468
2018-06-03	11489
2018-06-04	11451
2018-06-05	10874
2018-06-06	10191
2018-06-07	10124
2018-06-08	10171
2018-06-09	9521
2018-06-10	10251
2018-06-11	9578
2018-06-12	9591
2018-06-13	9709
2018-06-14	10993
2018-06-15	11744
2018-06-16	10127
2018-06-17	9599
2018-06-18	9581
2018-06-19	9537
2018-06-20	9526
2018-06-21	9684
2018-06-22	9498
2018-06-23	9971
2018-06-24	9369
2018-06-25	9458
2018-06-26	8944
2018-06-27	9175
2018-06-28	9047
2018-06-29	9175
2018-06-30	9283
2018-07-01	8743
2018-07-02	9453
2018-07-03	8728
2018-07-04	8567
2018-07-05	9683
2018-07-06	9497
2018-07-07	9020
2018-07-08	9101
2018-07-09	9069
2018-07-10	9628
2018-07-11	9039
2018-07-12	9193
2018-07-13	9976
2018-07-14	5170
2018-07-15	2903
2018-07-16	6224
2018-07-17	7981
2018-07-18	7936
2018-07-19	7538
2018-07-20	7730
2018-07-21	7327
2018-07-22	7104
2018-07-23	6475
2018-07-24	6695
2018-07-25	7317
2018-07-26	7688
2018-07-27	8550
2018-07-28	7736
2018-07-29	7886
2018-07-30	7878
2018-07-31	7913
2018-09-01	8983
2018-09-02	9085
2018-09-03	9172
2018-09-04	9961
2018-09-05	9815
2018-09-06	9816
2018-09-07	10696
2018-09-08	9950
2018-09-09	9725
2018-09-10	10298
2018-09-11	9951
2018-09-12	9469
2018-09-13	9438
2018-09-14	9073
2018-09-15	10212
2018-09-16	9576
2018-09-17	9807
2018-09-18	9345
2018-09-19	9695
2018-09-20	11095
2018-09-21	10082
2018-09-22	9579
2018-09-23	9355
