date	macro_dimension	dimension	language	frequency
2020-10-15	Corruption	Other - Corruption	ar	3199
2021-06-01	Security	Other - Security	ckb	5
2021-06-01	Security	Other - Security	und	1
2020-06-03	Corruption	Other - Corruption	ar	760
2020-05-31	Corruption	Other - Corruption	ar	611
2021-06-01	Security	Hopeless/Negative/Pessimistic	und	1
2021-06-11	Corruption	Other - Corruption	ar	501
2020-11-14	Corruption	Other - Corruption	ar	469
2020-06-04	Corruption	Other - Corruption	ar	455
2020-10-31	Corruption	Other - Corruption	ar	451
2021-06-01	Corruption	Other - Corruption	und	1
2021-06-21	Corruption	Other - Corruption	ar	415
2020-09-04	Corruption	Other - Corruption	ar	370
2020-09-08	Corruption	Other - Corruption	ar	366
2020-10-27	Corruption	Other - Corruption	ar	340
2020-12-19	Corruption	Other - Corruption	ar	318
2020-09-02	Corruption	Other - Corruption	ar	311
2020-09-19	Corruption	Other - Corruption	ar	305
2020-04-22	Corruption	Other - Corruption	ar	265
2021-06-02	Security	Other - Security	ckb	1
2020-09-18	Corruption	Other - Corruption	ar	261
2020-08-24	Corruption	Other - Corruption	ar	216
2020-09-06	Security	Other - Security	ar	206
2021-04-25	Corruption	Other - Corruption	ar	205
2020-08-21	Corruption	Other - Corruption	ar	200
2021-06-02	Security	Other - Security	ckb	1
2020-09-30	Corruption	Other - Corruption	ar	191
2021-06-02	Corruption	Other - Corruption	ckb	1
2020-04-23	Corruption	Other - Corruption	ar	188
2020-10-25	Security	Other - Security	ar	178
2020-09-13	Corruption	Other - Corruption	ar	172
2020-04-25	Corruption	Other - Corruption	ar	169
2020-10-02	Corruption	Other - Corruption	ar	164
2020-12-11	Corruption	Other - Corruption	ar	163
2020-05-28	Corruption	Other - Corruption	ar	155
2020-12-06	Corruption	Other - Corruption	ar	150
2020-08-17	Corruption	Other - Corruption	ar	147
2021-06-03	Security	Other - Security	ckb	2
2020-09-18	Security	Other - Security	ar	144
2021-03-05	Security	Other - Security	ar	143
2020-09-12	Corruption	Other - Corruption	ar	142
2020-09-12	Security	Other - Security	ar	139
2020-08-28	Security	Other - Security	ar	139
2020-06-01	Corruption	Other - Corruption	ar	139
2020-09-25	Security	Other - Security	ar	137
2021-06-03	Services	Collective Action	ckb	1
2020-09-14	Corruption	Other - Corruption	ar	135
2020-08-25	Corruption	Other - Corruption	ar	133
2021-06-04	Security	Other - Security	ckb	1
2020-11-09	Corruption	Other - Corruption	ar	128
2020-02-01	Corruption	Other - Corruption	ar	125
2020-09-20	Corruption	Other - Corruption	ar	124
2019-07-23	Corruption	Other - Corruption	ar	124
2020-09-16	Corruption	Other - Corruption	ar	123
2021-03-11	Services	Collective Action	ar	122
2020-11-16	Corruption	Other - Corruption	ar	122
2020-06-02	Corruption	Other - Corruption	ar	122
2019-12-07	Security	Other - Security	ar	121
2020-09-10	Corruption	Other - Corruption	ar	119
2019-11-28	Security	Other - Security	ar	119
2020-11-27	Corruption	Other - Corruption	ar	118
2021-02-01	Corruption	Other - Corruption	ar	117
2020-08-14	Corruption	Other - Corruption	ar	117
2021-06-05	Security	Other - Security	ckb	11
2021-06-05	Security	Other - Security	fa	2
2021-03-30	Corruption	Other - Corruption	ar	116
2021-06-05	Security	Hopeful/Positive/Optimistic	ckb	1
2021-06-05	Security	Hopeless/Negative/Pessimistic	ckb	1
2020-06-10	Corruption	Other - Corruption	ar	116
2020-06-29	Security	Other - Security	ar	116
2020-06-06	Corruption	Other - Corruption	ar	115
2020-12-20	Corruption	Other - Corruption	ar	114
