date	column	frequency
2019-05-01	socio-political content	1093.2419
2019-05-01	COVID19 content	386.8103
2019-05-01	Negative Valence	1041.254
2019-05-01	Aggression	458.0843
2019-05-01	Target other countries	610.75
2019-05-01	Target religious sect	539.7571
2019-05-01	Target sexual orientation	202.4356
2019-05-01	Disease dehumanization	838.6883
2019-05-01	sports	23
2019-05-01	joy	82.98
2019-05-01	pride	19.3
2019-05-01	anger	1.62
2019-05-01	sad	17.77
2019-05-01	disgust	0
2019-05-01	love	64.81
2019-05-01	fear	2.43
2019-05-02	socio-political content	968.4491
2019-05-02	COVID19 content	348.9122
2019-05-02	Negative Valence	874.2515
2019-05-02	Aggression	401.2006
2019-05-02	Target other countries	513.55
2019-05-02	Target religious sect	536.4638
2019-05-02	Target sexual orientation	180.6253
2019-05-02	Disease dehumanization	753.0253
2019-05-02	sports	17
2019-05-02	joy	64.37
2019-05-02	pride	14.61
2019-05-02	anger	6.99
2019-05-02	sad	22.74
2019-05-02	disgust	0.75
2019-05-02	love	33.13
2019-05-02	fear	4.29
2019-05-03	socio-political content	1099.9857
2019-05-03	COVID19 content	374.4986
2019-05-03	Negative Valence	981.732
2019-05-03	Aggression	426.5512
2019-05-03	Target other countries	592.41
2019-05-03	Target religious sect	621.1289
2019-05-03	Target sexual orientation	214.1112
2019-05-03	Disease dehumanization	841.5238
2019-05-03	sports	7
2019-05-03	joy	71.52
2019-05-03	pride	5.37
2019-05-03	anger	4.68
2019-05-03	sad	18.46
2019-05-03	disgust	0.87
2019-05-03	love	52.05
2019-05-03	fear	5.17
2019-05-04	socio-political content	913.2927
2019-05-04	COVID19 content	298.1302
2019-05-04	Negative Valence	825.8264
2019-05-04	Aggression	380.9372
2019-05-04	Target other countries	484.81
2019-05-04	Target religious sect	460.7897
2019-05-04	Target sexual orientation	175.433
2019-05-04	Disease dehumanization	671.4751
2019-05-04	sports	18
2019-05-04	joy	60.64
2019-05-04	pride	16.92
2019-05-04	anger	7.62
2019-05-04	sad	21.26
2019-05-04	disgust	0.75
2019-05-04	love	45.99
2019-05-04	fear	0.75
2019-05-05	socio-political content	977.3432
2019-05-05	COVID19 content	301.3942
2019-05-05	Negative Valence	895.9889
2019-05-05	Aggression	409.9104
2019-05-05	Target other countries	529.12
2019-05-05	Target religious sect	536.7225
2019-05-05	Target sexual orientation	214.0842
2019-05-05	Disease dehumanization	740.2935
2019-05-05	sports	13
2019-05-05	joy	60.98
2019-05-05	pride	10.98
2019-05-05	anger	4.68
2019-05-05	sad	30.93
2019-05-05	disgust	0.75
2019-05-05	love	55.68
2019-05-05	fear	2.31
2019-05-06	socio-political content	921.7318
2019-05-06	COVID19 content	322.1112
2019-05-06	Negative Valence	832.8845
2019-05-06	Aggression	383.3819
2019-05-06	Target other countries	522.99
2019-05-06	Target religious sect	488.3568
2019-05-06	Target sexual orientation	194.9295
2019-05-06	Disease dehumanization	741.5116
2019-05-06	sports	6
2019-05-06	joy	54.19
2019-05-06	pride	6.24
2019-05-06	anger	7.68
2019-05-06	sad	28.02
2019-05-06	disgust	1.56
2019-05-06	love	42.76
2019-05-06	fear	2.61
2019-05-07	socio-political content	1019.6373
2019-05-07	COVID19 content	325.3392
2019-05-07	Negative Valence	946.8779
2019-05-07	Aggression	443.541
2019-05-07	Target other countries	577.18
2019-05-07	Target religious sect	577.2179
2019-05-07	Target sexual orientation	220.8889
2019-05-07	Disease dehumanization	783.6457
2019-05-07	sports	13
2019-05-07	joy	64.41
2019-05-07	pride	10.74
2019-05-07	anger	4.8
2019-05-07	sad	29.13
2019-05-07	disgust	1.68
2019-05-07	love	33.96
2019-05-07	fear	4.62
2019-05-08	socio-political content	988.733
2019-05-08	COVID19 content	321.7369
2019-05-08	Negative Valence	903.5119
2019-05-08	Aggression	418.9034
2019-05-08	Target other countries	520.16
2019-05-08	Target religious sect	510.4134
2019-05-08	Target sexual orientation	208.0226
2019-05-08	Disease dehumanization	795.5927
2019-05-08	sports	13
2019-05-08	joy	72.56
2019-05-08	pride	12.3
2019-05-08	anger	5.73
2019-05-08	sad	31.76
2019-05-08	disgust	1.5
2019-05-08	love	37.28
2019-05-08	fear	5.04
2019-05-09	socio-political content	988.6832
2019-05-09	COVID19 content	322.8681
2019-05-09	Negative Valence	882.0686
2019-05-09	Aggression	402.0164
2019-05-09	Target other countries	534.44
2019-05-09	Target religious sect	510.963
2019-05-09	Target sexual orientation	179.3544
2019-05-09	Disease dehumanization	734.8909
2019-05-09	sports	16
2019-05-09	joy	78.66
2019-05-09	pride	10.8
2019-05-09	anger	3.37
2019-05-09	sad	42.56
2019-05-09	disgust	1.68
2019-05-09	love	43.45
2019-05-09	fear	4.62
2019-05-10	socio-political content	881.247
2019-05-10	COVID19 content	331.0225
2019-05-10	Negative Valence	792.9364
2019-05-10	Aggression	358.3924
2019-05-10	Target other countries	504.32
2019-05-10	Target religious sect	506.5523
2019-05-10	Target sexual orientation	170.1234
2019-05-10	Disease dehumanization	673.7775
2019-05-10	sports	14
2019-05-10	joy	48.55
2019-05-10	pride	10.18
2019-05-10	anger	4.24
2019-05-10	sad	27.83
2019-05-10	disgust	1.56
2019-05-10	love	30.89
2019-05-10	fear	3.12
2019-05-11	socio-political content	732.3033
2019-05-11	COVID19 content	245.9219
2019-05-11	Negative Valence	703.7399
2019-05-11	Aggression	324.4565
2019-05-11	Target other countries	378.31
2019-05-11	Target religious sect	388.7579
2019-05-11	Target sexual orientation	150.7294
2019-05-11	Disease dehumanization	571.6229
2019-05-11	sports	25
2019-05-11	joy	46.31
2019-05-11	pride	12.18
2019-05-11	anger	1.5
2019-05-11	sad	21.9
2019-05-11	disgust	1.5
2019-05-11	love	23.78
2019-05-11	fear	3.12
2019-05-12	socio-political content	824.3099
2019-05-12	COVID19 content	244.7919
2019-05-12	Negative Valence	758.9208
2019-05-12	Aggression	354.3479
2019-05-12	Target other countries	417.33
2019-05-12	Target religious sect	423.3209
2019-05-12	Target sexual orientation	174.0267
2019-05-12	Disease dehumanization	647.8865
2019-05-12	sports	21
2019-05-12	joy	48.46
2019-05-12	pride	13.68
2019-05-12	anger	3.87
2019-05-12	sad	21.7
2019-05-12	disgust	0
2019-05-12	love	31.46
2019-05-12	fear	1.68
2019-05-13	socio-political content	967.5818
2019-05-13	COVID19 content	324.8301
2019-05-13	Negative Valence	869.5154
2019-05-13	Aggression	412.1826
2019-05-13	Target other countries	518.22
2019-05-13	Target religious sect	521.8262
2019-05-13	Target sexual orientation	196.2124
2019-05-13	Disease dehumanization	762.2911
2019-05-13	sports	20
2019-05-13	joy	58.59
2019-05-13	pride	7.87
2019-05-13	anger	3.12
2019-05-13	sad	23.13
2019-05-13	disgust	1.5
2019-05-13	love	45.69
2019-05-13	fear	3.43
2019-05-14	socio-political content	946.1379
2019-05-14	COVID19 content	330.3577
2019-05-14	Negative Valence	865.5492
2019-05-14	Aggression	403.4435
2019-05-14	Target other countries	508.89
2019-05-14	Target religious sect	543.4777
2019-05-14	Target sexual orientation	188.6845
2019-05-14	Disease dehumanization	769.2013
2019-05-14	sports	19
2019-05-14	joy	54.91
2019-05-14	pride	6.12
2019-05-14	anger	6.43
2019-05-14	sad	21.27
2019-05-14	disgust	0.75
2019-05-14	love	30.93
2019-05-14	fear	1.5
2019-05-15	socio-political content	972.9662
2019-05-15	COVID19 content	342.691
2019-05-15	Negative Valence	860.0912
2019-05-15	Aggression	394.2222
2019-05-15	Target other countries	549.79
2019-05-15	Target religious sect	545.5877
2019-05-15	Target sexual orientation	206.3321
2019-05-15	Disease dehumanization	774.3568
2019-05-15	sports	17
2019-05-15	joy	72.9
2019-05-15	pride	7.11
2019-05-15	anger	3.06
2019-05-15	sad	25.5
2019-05-15	disgust	1.5
2019-05-15	love	30.52
2019-05-15	fear	2.25
2019-05-16	socio-political content	915.7054
2019-05-16	COVID19 content	302.6802
2019-05-16	Negative Valence	811.489
2019-05-16	Aggression	389.119
2019-05-16	Target other countries	526.5
2019-05-16	Target religious sect	524.3794
2019-05-16	Target sexual orientation	181.3052
2019-05-16	Disease dehumanization	744.5262
2019-05-16	sports	12
2019-05-16	joy	38.51
2019-05-16	pride	6
2019-05-16	anger	2.31
2019-05-16	sad	15.45
2019-05-16	disgust	1.5
2019-05-16	love	36.37
2019-05-16	fear	2.25
2019-05-17	socio-political content	952.9146
2019-05-17	COVID19 content	330.5312
2019-05-17	Negative Valence	904.591
2019-05-17	Aggression	412.2987
2019-05-17	Target other countries	529.06
2019-05-17	Target religious sect	508.8573
2019-05-17	Target sexual orientation	190.2544
2019-05-17	Disease dehumanization	791.7758
2019-05-17	sports	10
2019-05-17	joy	59.94
2019-05-17	pride	6.06
2019-05-17	anger	1.5
2019-05-17	sad	25.02
2019-05-17	disgust	1.5
2019-05-17	love	36.06
2019-05-17	fear	1.5
2019-05-18	socio-political content	846.5967
2019-05-18	COVID19 content	266.5829
2019-05-18	Negative Valence	823.3241
2019-05-18	Aggression	362.6959
2019-05-18	Target other countries	469.36
2019-05-18	Target religious sect	469.9006
2019-05-18	Target sexual orientation	172.7547
2019-05-18	Disease dehumanization	682.6759
2019-05-18	sports	30
2019-05-18	joy	47.16
2019-05-18	pride	20.59
2019-05-18	anger	3.87
2019-05-18	sad	19.72
2019-05-18	disgust	2.43
2019-05-18	love	43.04
2019-05-18	fear	1.62
2019-05-19	socio-political content	823.1938
2019-05-19	COVID19 content	297.2564
2019-05-19	Negative Valence	760.5592
2019-05-19	Aggression	367.0471
2019-05-19	Target other countries	461.39
2019-05-19	Target religious sect	457.4474
2019-05-19	Target sexual orientation	169.0959
2019-05-19	Disease dehumanization	665.7038
2019-05-19	sports	17
2019-05-19	joy	65.15
2019-05-19	pride	14.68
2019-05-19	anger	4.99
2019-05-19	sad	27.4
2019-05-19	disgust	2.43
2019-05-19	love	37.14
2019-05-19	fear	2.8
2019-05-20	socio-political content	1079.7656
2019-05-20	COVID19 content	363.5286
2019-05-20	Negative Valence	965.1991
2019-05-20	Aggression	464.1242
2019-05-20	Target other countries	550.75
2019-05-20	Target religious sect	586.2692
2019-05-20	Target sexual orientation	226.0083
